City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,whitehorse,60.7161,-135.0538,-17.569999999999965,77,100,2.57,CA,2024-02-06
125,glogowek,50.3536,17.8641,8.620000000000005,67,100,8.11,PL,2024-02-06
126,rongelap,11.1635,166.8941,26.230000000000018,83,71,6.9,MH,2024-02-06
127,alesund,62.4723,6.1549,-2.909999999999968,79,0,2.57,NO,2024-02-06
128,ciudad acuna,29.3232,-100.9522,20.230000000000018,43,0,6.69,MX,2024-02-06
129,kapa'a,22.0752,-159.319,23.180000000000007,72,100,8.75,US,2024-02-06
130,lijiang,26.8688,100.2207,-0.44999999999998863,91,12,2.12,CN,2024-02-06
131,edinburgh of the seven seas,-37.0676,-12.3116,16.890000000000043,69,8,2.74,SH,2024-02-06
132,christchurch,-43.5333,172.6333,17.170000000000016,81,75,6.69,NZ,2024-02-06
133,zhangatas,43.5667,69.75,8.020000000000039,42,100,8.31,KZ,2024-02-06
134,utrik,11.2278,169.8474,26.450000000000045,81,100,7.26,MH,2024-02-06
135,al muwayh,22.4333,41.7583,18.950000000000045,15,40,4.34,SA,2024-02-06
136,labrador city,52.9463,-66.9114,-8.049999999999955,49,20,0.0,CA,2024-02-06
137,marka,1.7159,44.7717,26.610000000000014,85,83,7.17,SO,2024-02-06
138,goure,13.9835,10.2704,23.430000000000007,14,100,4.53,NE,2024-02-06
139,touros,-5.1989,-35.4608,30.04000000000002,64,99,6.34,BR,2024-02-06
140,tenno,39.9,139.9667,1.5100000000000477,74,100,1.66,JP,2024-02-06
141,codrington,-38.2667,141.9667,11.970000000000027,86,5,1.02,AU,2024-02-06
142,tiksi,71.6872,128.8694,-23.399999999999977,98,100,2.82,RU,2024-02-06
143,talnakh,69.4865,88.3972,-19.889999999999986,90,39,3.46,RU,2024-02-06
144,asau,46.4333,26.4,13.510000000000048,64,100,9.45,RO,2024-02-06
145,puerto ayora,-0.7393,-90.3518,30.980000000000018,77,39,4.41,EC,2024-02-06
146,phan thiet,10.9333,108.1,22.850000000000023,88,87,1.33,VN,2024-02-06
147,targuist,34.9377,-4.3186,10.390000000000043,56,0,0.98,MA,2024-02-06
148,nouadhibou,20.931,-17.0347,26.99000000000001,29,7,4.12,MR,2024-02-06
149,grand-bassam,5.2118,-3.7388,29.980000000000018,70,2,4.49,CI,2024-02-06
150,cole harbour,44.6724,-63.4751,1.650000000000034,85,100,6.71,CA,2024-02-06
151,hotan,37.0997,79.9269,-3.329999999999984,73,17,1.54,CN,2024-02-06
152,lagos,6.5833,3.75,26.850000000000023,47,7,2.42,NG,2024-02-06
153,ilhabela,-23.7781,-45.3581,28.460000000000036,71,95,2.62,BR,2024-02-06
154,bratsk,56.1325,101.6142,-10.729999999999961,99,87,1.3,RU,2024-02-06
155,kluang,2.0251,103.3328,23.860000000000014,95,96,1.44,MY,2024-02-06
156,sao gabriel da cachoeira,-0.1303,-67.0892,26.890000000000043,94,75,2.06,BR,2024-02-06
157,sergeyevka,53.88,67.4158,-1.42999999999995,83,100,7.11,KZ,2024-02-06
158,tazacorte,28.629,-17.9293,22.30000000000001,49,0,2.57,ES,2024-02-06
159,paris,48.8534,2.3488,11.879999999999995,85,75,5.66,FR,2024-02-06
160,yerofey pavlovich,53.9667,121.9667,-15.379999999999995,98,100,1.16,RU,2024-02-06
161,hadibu,12.65,54.0333,25.129999999999995,72,17,3.91,YE,2024-02-06
162,antsiranana,-12.2787,49.2917,25.439999999999998,88,99,0.58,MG,2024-02-06
163,ginir,7.1333,40.7,17.80000000000001,44,5,2.24,ET,2024-02-06
164,tchintabaraden,15.8969,5.7985,22.650000000000034,12,87,4.91,NE,2024-02-06
165,bryne,58.7354,5.6477,0.32000000000005,96,75,5.14,NO,2024-02-06
166,qarauyl,48.9451,79.255,-7.909999999999968,74,66,3.65,KZ,2024-02-06
167,mana,5.6592,-53.7767,29.32000000000005,70,89,5.78,GF,2024-02-06
168,cockburn town,21.4612,-71.1419,25.060000000000002,75,47,9.75,TC,2024-02-06
169,saint-pierre,-21.3393,55.4781,23.82000000000005,73,0,2.57,RE,2024-02-06
170,la passe,45.5549,-0.8967,11.100000000000023,90,100,4.31,FR,2024-02-06
171,hinton,53.4001,-117.5857,-2.6999999999999886,70,100,0.73,CA,2024-02-06
172,sterling,39.0062,-77.4286,7.230000000000018,48,20,6.69,US,2024-02-06
173,camana,-16.6228,-72.7111,26.170000000000016,76,6,3.5,PE,2024-02-06
174,ixtapa,20.7,-105.2,28.460000000000036,36,0,0.45,MX,2024-02-06
175,fortuna,40.5982,-124.1573,9.400000000000034,94,100,2.24,US,2024-02-06
176,ha'il,27.5219,41.6907,13.010000000000048,28,0,2.06,SA,2024-02-06
177,follonica,42.9263,10.7616,15.28000000000003,88,100,1.45,IT,2024-02-06
178,flying fish cove,-10.4217,105.6791,22.82000000000005,100,77,0.0,CX,2024-02-06
179,puerto aysen,-45.4,-72.7,16.5,87,99,2.91,CL,2024-02-06
180,kingston,17.997,-76.7936,29.53000000000003,55,40,6.69,JM,2024-02-06
181,berdyansk,46.7503,36.7944,3.3700000000000045,96,100,3.32,UA,2024-02-06
182,hamilton,39.1834,-84.5333,7.400000000000034,67,20,4.12,US,2024-02-06
183,buka,40.8108,69.1986,8.760000000000048,33,100,3.12,UZ,2024-02-06
